content,predicted_topic
Edit it's now march 1st 25 and the same issues are in the app and the price has gone up exponen No turn by turn while on call. have to back out of the trip to make changes. 3.5 out of 5 difficulty rating. tries to make you do turns on bridges and send you down roads that are not truck friendly. takes forever to load maps if they are in satellite view they keep saying that they are fixing the bugs but it doesn't happen burn the battery out of the phone in a couple hours all around dissatisfied.,0
By far the most dishonest and deceitful individual I've come across in my life time if the app is anything similar to the app designer it deserves less than the 1 star I was forced to oblige it with. Don't even waste your time time considering it take my word for it on this one 👎👎👎,1
I no longer use the app no way to cancel it and they refuse to help me cancel my subscription I'd honestly give it 0 stars if I could,3
TERRIBLE the map constantly freezes up and it's constantly rerouting. I have tried unistalling and reinstall app several times as well as force stop.,0
Not free.,0
This app is cloned . Please remove all devices from this app.,0
"Not, very bad",0
$30 a month!!!!! OUTRAGEOUS!,0
it cannot even get you through St Louis right way I had to Make u-turn on on little Street almost got in accident if you pay Gold they will constantly trick you to get Dimond which is 33.00 a month with gold you can only add 2 multiple stops and after you made them it wouldn't remove them and when you try to add more stops it will tell you to purchase Diamond membership that's big time BS,0
"Do not use this app, they take your money and disconnect you, they do not solve the problems you have, they also leave you talking alone in the chat and they tell you that your account expired almost 3 weeks ago and they do not let you use it because you have to pay again right now, I cannot use it because it is supposedly expired, I sent the payment receipt and they are reviewing it 4 days ago, they are not reliable",2
I have only notice recently that they have night mode/ dark mode behind a paywall. I could of sworn it wasn't at one point. Either way it trash to charge for color change of map. Like google map is free so u can drive at night for example. I work at night so when I stop for 30. I like to double check for parking but get blinded.,0
"the worst apo in the world, the most ordinary group of thieves. The navigation is buggy, there is no update, you have to be careful how you drive because it gives longer routes, to put it mildly terrible, and they charge like a pro. she changes routes by herself, you choose one, she herself goes back to another, horror",0
"This app is brutally bad. If you are in Canada don't use this terrible app. It's glitchy , lags bad, tells you very incorrect speed limits , tells you to make turns on roads that don't even exist. The truck icon spins sideways while you are driving straight like it has no idea in which way your driving. I would never use again if I was in a car let alone trucking",0
"GPS is garbage, better off paying for a truck gps",2
"After update it no longer works can't find it's own location takes wrong turns , canceling subscription, use hammer the app same thing works smooth and it's free",0
Quite often sends me on wrong route road with no trucks in North Carolina continually sending me on Route out of the way,0
To expensive,0
"Don't bother downloading the app, as it is a paywall trying to get truckers to pay more for the features it should have had as free, like the actual truck option is locked until you buy a overpriced subscription and much more, might aswell buy land tracker or any other app cause at least I'll get something worth my money",0
Was free. How greed does follow.,0
"Update, still keep hitting for it to start the route and still it refuses to do anything, device has signal. And Gmaps has no issue what so ever instantly mapping a route to where I want to go. Did devs even finish high-school what's going on?",0
"This app doesn't work,,,please close my account.... that's wacky.",3
"No matter how many times I click on my ad to refuse the installation of this app, it always downloads no matter how many times I hit the x. I don't know if it's a good app for people who like that sort of thing, but to me it's a hostile installer",2
Tried to send my truck under a 10' bridge at logan airport. To make a u-turn no.less. dangerous app if you don't know where you are or what you are doing. DO NOT recommend.,3
Can't get it to take my paymand google help said they were going to take care of it and still haven't and this has been a week,0
"Freeze on tablet, have restart for use. But freeze again when u close app and try use again. Useless for tablets",0
"Can you stop shering my all info to 3rd party, I always asked to callers where you get my number thay said Trucker Path",4
Waste of money,0
"If you want to have truck routing, you have to buy the gold package, other than that it will give you car routing, ttried it four different times for the same address, it's not optimized for trucks unless you buy the gold package. Period. It will route you like a four wheeler on holiday. Edit: just updated app, still not really using it, but keep it around.",0
It's Really Bad app App hiding weight Station HRS I'm not understand why ...... ?,0
It's not worth paying for. It's barely better than Google Maps. It has taken me onto unnecessary mountainous roads. It will take you onto truck restricted roads. It will have you exit a freeway just to get back on at the next entry. It has cost me time and money. It DOES make sure you don't go under low bridges. And it will ask you if a scalehouse is open or not when there isn't even a scale house there.,1
"I've been using it for years, but since the update, it keeps crashing on me every time I use the app. Fix it plz I love the app, but now i uninstall it cause of the bug..",4
Well this is not trucker app anymore it's truck stop app because this app let the truck stops only to update the diesel prices. Some truck stops lying about diesel prices on this app when you get there it's .50 + cents more per gallon . Before this app was good because I truck driver could update the price for the next trucker passing through Well good luck TP I'm about to uninstall you you're not good for any truck driver business.,2
Can't try without paying,0
"It's ok but finally got around to trying to get it to do night mode and that's a premium option, what a crock. Sorry driver I hope the bright daylight colors didn't ruin your night vision",0
I was wrongfully charged for subscription for this trucker path app for the year. I have tried so many times to get my refund but trucker path says refund will be issued by play store and play store says refund will be issued by the app developer. No one is issuing the refund.. It's a scam.,4
"Whoever made this app should be fired I pulled into a truck stop for my 34, because the app said I was alot closer to my destination while I was driving, and after I went into sleeper berth I checked the app again only to find out I was 185 miles further away from my destination than it originally said when I pulled into the truck stop. I'm going to be almost 3 hours late for my delivery now, and there's nothing I can do about it thanks alot.",0
"You are constantly inundated with truck routing, and truck GPS offers. Now all of a sudden, out of the clear blue sky I'm getting load offers from the app. Don't even have an account on the app. Have asked several times to be removed from the email list, but the emails just keep on coming. Customer support absolutely SUCKS! This app is owned by the Chinese. Guess they don't understand English. No wonder it's all f'd up! Whatever you do, don't click on any of the icons to look. You'll regret it!",3
It's a lie it's only free for 7days then it's 20 and up a month,0
Too expensive,0
Weigh Stations status unavailable. Error message,4
"So far of all the apps I've used I seen this one covers most of what I'm looking for. You can get a lot of info from the remarks about each place, my fav is listing the exit numbers, and mile markers very very helpful. Updates it in December of 2024 and now it no longer allows me to see if parking is available or weigh stations are open or closed. Fix the last update.",4
Did I read this correctly? $250.00 per year?,0
This app is terribly glitchy. The map never selects what I wanted to select and the app kills any other app that I have in the background such as a music app or YouTube. Then when I go to restart my music this app resets itself again. Extremely frustrating!,0
It lags. Way too much. I can't even pick out a truck stop any more.,0
Keeping shutting down on my eld,0
Trying to cancel 7 day free trial subscription,4
Worst thing ever for the price . Save your points and get a Garmin or a rand anything but the overprice they want,0
Monthly payments just to change options 😒,0
A SERIOUS ROUTING DEFECT... IMMEDIATE ACTION NECESSARY! error We will get back to you. MF THIS GETS MARKED AS NO TRUCKS EVER IMMEDIATELY YOU INCOMPETENT IMBECILES. GOT IT!? APPARENTLY THIS HAPPENS 5X A MONTH AND THEY CAN'T GET THESE NAVAGATION SOFTWARE COMPANIES TO FIX THIS. GUESS WHAT MF'RS... IT HAPPENED TO ME... COST ME HUGE MONEY FOR 1 TURN. THIS BETTER GET FIXED BY DAYS END...,0
"Absolutely 1 star after recent update! They took away the ability to leave comments and reviews for weigh stations. No more ""no cc, no police, scale out, mobile scale only"" quick information we actually need! The community is what made you! Why would you want to restrict us?",2
This app is becoming unreliable. Within the last couple of weeks they have deleted several truck stops that have scales and parking. Why would you do that.,2
Newer version closes by itself; I am constantly opening itself!,0
"While helpful at times, this app has serious lag and lots of missing info. For the love of all things holy, please let all users opt out of the stupid chat rooms feature. I keep getting notifications about other drivers at this truck stop inviting me to the chat. Disabling the chat notifications in the chat room does not affect these push notifications.",0
🗑 🚮 🗑,0
How do I cancel my subscription??,3
"Make more options for regulation of sound! Quite annoying hear : -Keep left/right when you moving straight! When you really need to keep right or left it letting you know in last second! -Curve/rock/animals ahead every 15 min! (No need that at all!) -Weight station 50 miles ahaed! Make it 10 or 5 miles ahead notice, not 50! Add more options for optimization app! Fix that please, or this year will be last year purchasing your app for me. That voice update, worst ever!!!",0
Totally sucks,0
I have no idea about this I downloaded it and then it wanted money,0
Poor customer service had a billing issue they what to charge me twice,0
It hard cancel my subscription I've been trying,3
"The new update is horrible no more alert about 80% of weight stations , what happened it was great app but recent update is ridiculous plus the routing is also much much worse now takes you into residential neighborhood if there's even some type of construction, do NOT update they destroyed the app , how can I get older version ? Icannot stand the new version",1
"You guys need to fix this app. It's ridiculous. Google maps is free and works better than this thing. They'll charge us a ridiculous cost and then your app just glitches all the time. Be in the middle of a city at 80,000 lb and all the sudden your app starts glitching. Y'all need to fix this immediately",1
"Rest in peace, my friend. You were close to us, but you sold out. Thanks for the good times, and may the ground be soft under you. In short: they sold out. No more early warnings about weigh stations, and the routes have become terrible. For example, instead of just taking you straight ahead, it will reroute you through residential neighborhoods to another street in the most inconvenient and even illegal way. Why? Because there’s a weigh station there.",2
"Since latest update 11/16/24. Apparently actual truck stops have been deleted from this app. I can only assume it's because of blackmail. If the truck stop won't pay the blackmail to be put on the app. They get deleted. Case in point. T/A Near Hickory NC and Loves travel center near Marion NC. Both have been deleted from the app. Why, probably because of greed and politics. The owners of the app are probably still crying because Trump won the Election.",3
GPS is wrong wants u to pay to get the right directions BS,0
"Previously, when I clicked on the weight station icon, information about it was immediately displayed, but now when I click on the button, only its area pops up and to find out the information, I need to click again.",0
"Latest update annoying as ****, everything is an alert, it used to be just steep downhills and directions. Now tracks ahead has to tell me 3x, deer sign, watch road, curves etc. And it's all alerts or nothing. I do not need it telling me all this junk. I can't turn off all that without turning off the directions as well which is thr only thing I actually do need. I contacted customer support from app before posting review. Response was 'will submit feedback to developers'",3
"They censor the words ""smell"" and ""stink"" in reviews. Why? Because it be used as an insult? Might as well not allow reviews because literally anything can be as an insult",0
Taking payment without my permission,0
Horrible not worth the money.Decided on giving it a chance.sent me in wrong direction.Doesnt update if you go wrong.Google maps far excceeds this app.& its free simply plan your route on interstates or state...its easy... Delete & forget was a good idea but this aint that...This app under city congested traffic is useless specially if roads or highways close.Lags way to much to even consider it.,0
"the fact that everything is getting better for apple is very disappointing!! before that, I had an iPhone and there was a ""button"" on the left that shows all places on route ahead, with one touch (truckstops, rest areas, weight stations, etc.) very convenient. And there is no on Android! Why?? it is so difficult to add one function that is already on iOS to Android too. what kind of double standards??",0
"Update limitations on older devices create negative outcom for expirience users ,customers",0
Keep loosing gps,0
I liked the app until they removed the ability to quickly go to google map directions.,0
"The worst GPS for truckers ever made, no joke. If you're looking into or interested in completely ruining your career as a professional driver trucker, then you should get this horrible and useless app but If you care about your trucking job then you will do ANYTHING to stay away as far as you can from Trucker Path. Wrong speed limits always, worst routes with the most traffic every time, crashes constantly, will wrongly assume you're on another road and change directions and so much more. 0/10",4
Stupid map changed route without reason,0
"the latest update made the program just awful on the android platform. Previously, I clicked on the Wait Station icon in the right corner and immediately saw the Weight Station and its status: open or closed. Now, you need to double-click on the Weight Station icon to see its status. You have to take your eyes off the road longer. It's not safe. Fix it. Restore it to how it was.",3
"Not working, pls refund, trucker path team said, play store refund you",4
It's okay I guess. They really limit what you can do and lock all the features behind a pay wall. Want to add 10% to the timing on your route?! For the low price of $20+ per month we'll do that. No thanks I'll just do it in my head. Edit: oh nevermind. It's basically not functional at all unless you pay. I'll use Google maps and go back to my Garmin next week. This app is terrible and predatory.,1
Can't find anything,0
Fraud people . They never return your money . Fake promises. For your info it was purchased directly from you guys 👦 fake people,0
"Do not recommend for people that actually need information Trucker path refuses to update and add location for scales and portable scale common locations Last 1.5 yrs sent 30 emails, have email chain with their replies, followed their directions on emails and the in app add location. Sent real time info with live pictures But to this very day they have made any effort to correct or add the proper locations to their map So good luck if your counting on the. To have correct or accurate info",4
Say one word isn't a bad word when leaving reviews on the app for places and you suddenly will not see your reviews or comments on anything. Even if it's rated G. This app has more censorship than google,0
Trucker path keep posting the wrong fuel price at a fuel stop even after I change the price to the correct amount. I have screenshots showing.,4
Have to pay for everything now not fair to us driver's,0
I have canceled the Trucker path and still got charged. So please refund the money and stop charging me,4
"Loved app till this last update now its completely different to use. Please put it back the way it was I don't like the way it works at *UPDATE* 10/10/24 DO NOT pay for this app it is complete garbage, it gets worse with every update half the time it don't work at all just says recalculating or rerouting, changes routes on you sends thru downtown streets versus leaving you on interstate, don't show half the scales anymore",3
"Huge red flag... once subscribed to the no ads and premium features, YOU CANNOT UNSUBSCRIBE. the option to do so in the app fails every time and I just got charged for another month of service for an app that I don't use anymore. I am very displeased.",3
I don't like update when I press weigh station right in the corner he doesn't show me open or closed. I have necessary press to on map that's ridiculous 😕,2
"Didn't want this and Google hid this to when I was trying to download something else. This boarders on a scam. I search for what I want, stop trying to force your way into my selection process",0
Scammer,0
"I think someone should take a very close look at this app, developers, and possibly fund appropriations!! I have found several straight racist reviews from other users of the app, yet despite utilizing the report option the posts are not removed and helps perpetuates hatred while turning profits from those you are allowing to be ostracized !!!!!! Shamefull!!!",0
WHY DID THIS CHANGE? NOW IT WILL NOT WORK? FAH😬,0
"Trying to cancel subscription,I don't like the app",0
This app is horrible.,0
Can't install on a perfectly working older tablet,0
Keeps on crashing,0
To slow,0
"I loved this app until this last update. It's an app for truckers, why give us car routes and make truck drivers pay just to map out a trip. We can just use Google maps in that case and a truck gps.",1
"Still Garbage after selling it to more than likely a Chinese company, changed to Truckmap after these people forced update to app in order to use. Duck off",3
"Clumsy UI. Rerouting and adding stops never works properly. Can't control the pop ups that ask about parking and weight stations. Will try to force diamond membership. Just buy a brand name gps, they all have satellite now, and updates are free. This app is the worst.",4
"I can't update, I have 2.8 gb of available memory, and it tells me to delete some apps for it to install, why! Some help please.",0
"This is a giant waste of money. I bought it for truck parking availability. Not only is there ZERO data, they pretend the Pilot in Rice Hill Oregon does not exist. When you report the problem, a couple months go by, and they Fail to Fix it.",0
"It has a login with Google button but then still requires me to enter an email and password. It's 2024, I'm tired of making passwords, we have better ways - please implement them.",0
New update killed audio output. Not really useful now. When's the next update to fux.,1
"Not free, free trial. Uninstalling.",4
How to cancel? Useless,0
Charged my account for a full year I tried to get a refund and the support teams but absolutely useless. They responded to my email once and never replied again.,0
"What a convoluted POS this app is turning into. Jack of all trades, master of not a damned thing. Just buy a Garmin.",0
keep crashing on Fold 4. take 5 mins to locate,0
Seriously this app advertises a lot of cool stuff but then at the end they what to charge you for this. How come I just can't have regular navigation for a truck for free?,0
Cost way to much,0
"Paid app only, unless you want the trucker path for car routes only 🤷🏼‍♂️",4
I hate getting suckered into something that call it a trial and immediately charges you....then you have the audacity to tell me to reach out to trucker path knowing they are gonna tell me I have to reach out to google play...You want me to pretend that I havnt read the other reviews that said you have stolen from them as well....you are simply stealing and you don't have a conscience....just a matter of time before you're ordered to pay it back just all other companies who have done wrong.....,4
"This app never put me a truckers route, I do local driving and it would always take me to restricted roads for trucks. So i cancelled the app and was still charged. To this day this company is still trying to charge me, however they say they can not pull up an account on me. Scammers!!!!",0
It's not accurate and it gets confused All the time,0
"Terrible app, crashes all the time, do not recommend.",0
"Great app for truck scales and truck stops. Definitely NOT worth the price of $163.79 every six months. Frikin OUTRAGEOUS price. I used it alot and subscribed for a year. But I haven't needed since I got out of the truck at the end of 2022. I opened it to show a friend a couple days ago, and it socked my bank account instantly for another $164! Give me my money back!",2
Do not use. Terrible app.,0
Horrible app half the weight stations have disappeared of the map so moving to trucker guild same thing just better in my opinion rest areas ain't disappearing and less bugs,0
So now with a update on this app it doesn't let you update the status of the scales anymore. Guess they want you to pay in order for drivers to report if the scale is open or closed.,3
"Cancelling the subscription in the app does not cancel the subscription. You will be fraudulently charged. These people feign incompetence, but they are actually criminals. If I haven't deleted this, they haven't given me a refund for their fraudulent activities yet. Don't believe them when they say they want to make it better. They don't.",3
It says free trial. I signed up for it and it charged my account the subscription amount. FALSE ADVERTISEMENT,4
"Canceled This service over a year and a 1/2 ago, and they keep still trying to take money from my account. I have tried contacting them several times cannot get through to anybody to make sure this gets canceled and stop charging my account for this trucker pass needs to give me a phone number I can call to make sure this happens.",0
I am switching back to DAT because can't seem to ever get anyone with in support on the phone I can't verify my dot # my email nothing to be able to book the loads I want #2 when you call it rings twice and younger a message noone is available with no option to leave a voicemail very poor customer service I would not even rate a 1 star ⭐ I have even emailed to have no response I run a company and I drive with other trucks iny fleet want better ratings then do better,0
Bad support,0
Company selectively scams people who don't want to subscribe to the service by implementing a broken cancellation sequence in the app and claims to be powerless to do anything about giving refunds. These people are criminals.,0
"Google says you have to get a refund from Trucker Path, Trucker Path says to get a refund from Google. A bunch of crooks are stealing your money. Always excuses why the app doesn’t work half of the time. I'll keep adding to my review. Hopefully, the people paid to respond to these critical reviews, damage control, take notice! How can you sell a broken app and get away with it consistently? I want my money back!",4
"Horrendously slow. It actually slows down the whole phone. I'm thinking whoever programmed this is spawning too many UI elements at once. It's to a point that wherever I touch it attempts to pull up info on that place, even if it in the middle of nowhere. This is just a light tap. Once that happens the entire phone freezes and I have to restart the system UI. I have a very new phone with the latest snapdragon too. And it also gets your clipboard automatically once the app opens. Spooky",0
This app used to be good. It led me to a port and now I'm stuck parked on a ship headed to France. When I get back I'm gonna have a word with yall.,3
"Someone tell me... why does the GPS get lost so much and reroute unnecessarily... this is very dangerous and can put us at risk, even with the CDL. It is not fair if I am paying for an app in which I have placed all my expectations. They ruin it.",0
"Started free trial downloaded the states I travel in, we don't do california first trip I go to check on and it sends me thru california I even put down 4 axle trailer, why route thru a state I didn't download??",4
"Be careful ! the app is very bad, It can take money twice, and no one is responsible for it, the refund doesn't work.",0
This used to be my Go-to app for truck parking app. Forced to update and now I can't use it. Used to be able to select what I wanted all on one map. I refuse to search each brand one page at a time. I can use Google maps for that. Uninstalling,1
I paid for this and it takes me down roads. Aren't there? It's not up-to-date to the newest map. It takes me down residential streets and last night. It took me under a low bridge. That I hit trust in the app. It. 's got all my dimensions inside the app.So I should be able to clear this bridge.Hell no.So now I get to contact truckers path and find out who's gonna pay for my trailer,0
I am not paying just to use this app for trucks,2
"7-day trial, then $149 almost impossible to get through the customer service to cancel subscription in time, and get a refund. Then, subscription, not even on the email account I subscribed on . Buyer beware . When they tell you to go to the subscription page after you finally find it and click vew transaction to apply for a refund . There is no such link there on the page. Unbelievable . So now to social media to slam them there. 149$ no refund and 2 hours of my time so far ..",0
"Not as good anymore, gps gets confused when going through road construction, keeps saying recalculating until you close the app and turn it back on after you get through the construction zone. Can't give a rating unless you don't mind having stars in place of a non-cruss word that's if it even gets posted. Sort of woke and I'm not going to reply back if this truckers path wants me to.",0
I pay to use the app not too big of a deal however I'm getting quite frustrated with the fact I'll be driving down the highway and out of nowhere the app will minimize down into a picture in picture view and take me to my home screen on my phone. Sometimes it does it over and over again and sometimes it does it once an hour either way it always manages to do it at the worst possible time,2
"This App: ""I'm called 'Trucker Path'!"" Also this app: ""Pay for the Truck Routing!""",4
Will not let you unsubscribe,0
I want to cancel and I am unable to I've been charge for months don't do this unless u know and have the time to deal with this internet confusion really It never did anything good and I thought it was canceled like almost a year ago but I find my self chasing dumb things I've tried out but didn't look at the fine print be careful,0
"Had to use other map finder with this one just to make sure it didn't lead me into streets trucks SHOULD NOT GO OR BE ! After paying $126.00 for it & after 1 months & put in a few bad spots, don't recommend it because the cost is not worth it. Lead me to street that didn't exist and some parking spots that was not parking spots or spots not for trucks. If I have to use 2 mapping systems then it's not worth the money. Tried canceling as it say you can for refund but they will not refund 😒",0
Tried to sign up for the 7 day trial and the app charged my credit card for the full month. Beware,0
"Bad, bought it for using in truck. It is always lost signal GPS. I didn't like it. When in 1 month I ask to return my money. They refused. I'm disappointed.",0
I unsubscribed and still charging my card,0
"Annoying voice. Accidentally bought this and decided to try it, drive from Ohio to CT and it was not the greatest got me lost twice and the guidance voice is extremely annoying sounds like a little kid talking to you. Wish I didn't waste the 120 for 6 months probably won't use this ever again",0
"I would give this awesome application 5 stars without any hesitation, but i wrote customer service, and i have been ignored. It's no good",0
They charged me before the free trial was up and it was supposed to be $12.50 a month. I was supposed to have a 7 day free trial. Not 158.00. Not what happened at all. It also took me out of my way unnecessarily.,4
They expect you to have a monthly subscription for dark mode eff of,0
I am trying to update this app but its not getting update.,3
Have tried canceling app 4 seperate times with customer service so i didnt get a charge i didnt want after free trial. I dont use the app enough so i dont want to be charged for it. I have had to CANCEL/LOCK my card connected to this to avoid these fraudulent charges since its STILL NOT CANCELED. I would not recommend this to anyone. Nothing but a headache and waste of time.,0
I refuse to pay for services for any app.,0
"Scam. Do not input debit card info, use an empty visa giftcard. DO NOT ENTER CARD INFO. Youve been warned.",0
Every time I update they take something away!!!! The latest update made the background DARK & The information up top (while driving) is set in a Dark background. Which just blurs everything together! ( Before. The update the background was a lighter color (WHICH WAS MORE PLEASEANT TO VIEW WHILE DRIIVING) & The information up top will set behind a blue setting . ( Making a DISTINCT CONTRAST between map and Information up top!!) EVERY UPDATE...has made things worse! IM GONE!!,3
To expensive,0
Wanted to buy the service for a month was billed 6 months service almost 200 dollars and now i cant get a refund. I feel like i was scammed.,0
Cancelled this the same day and they billed me again anyway and now claims I don't have a account what a jokep,0
I can't pull up the app it says there's a bug is something going on with it I like using it I haven't had a problem with it until 2 weeks ago,0
"Had to cancel my subscription, because the app won't let me sign in on my phone",4
I'm trying to cancel app I have payed but locked out for days,0
"This works but it there is kinks BAD, they need to fix the technical support... it's always a hassle dealing with this app.",0
"How are you going to be claiming that You're a truck friendly app, but then you require payment for truck friendly routes for planning. I've been using this app for many years now and it's just gone downhill.",1
"Takes your money without service. If I could give it a zero, I would!",0
Routed me through illegal truck area. Nearly crashed as result. Dangerous and unsafe,0
Don't use it.,0
Newest update hasn't downloaded,0
In Canada. I downloaded my city. Expected to get truck friend routes with weight restrictions. I entered some addresses and it showed similar addresses in US cities and businesses in my city. Hoped it would be a solution for issues with Google navigation lately.,0
Horrible customer service,0
Trucker path want let me unsubscibe. It just taking my money and I don't need the app anymore,2
Never works,0
"It's strange that the apps yearly price continues to go up without any updates improving the truck routing and the user interface never gets fixed. On top of that, you continue to get spammed with ads for their fuel discounts and load board. At this point just buy a Garmin or Rand McNally and you'll have saved money in only two years.",0
"Was a terrible app with some functionality. But...they completely redeemed themselves by making it completely useless. ""Truck GPS"" is insulting at this point. Why would anyone pay for for an app that literally leads you into disastrous situations? When I sent them updates for their routes so it didn't happen to another driver, they responded that they couldn't fix it because it was based on Google Maps! I get that, but why am I paying you?! 😒",3
💥Update: Definitely not renewing my subscription. They raised the membership price too $150 a year now for the basic 🤑🤣✌️ No thanks not worth it truckerpath. There's other cheaper apps. Anyone else hate the new update. Like why zoom out the map everytime route is edited and the current location button keeps zooming to beginning of route and then is so delayed! 🤦🏻‍♂️😠,1
It was supposed to be free trial but it billed me $128 for 6 months! I used it one time and it took me the wrong direction in Joplin..luckily i knew where i was going! I am jumping through hoops to get my $128 back! Big time pain!,4
Update: Ended up paying into October for a year. Here it is May 30 and account doesnt work. Go to check and it looks likenmy account was cancelled. Nice scam guys. Too damn expensive. When I first signed up there was a monthly payment option for like $5.99 a month. All of a sudden it's almost $130. Guess I'll have to try to find another app. Go back to a monthly subscription rate than I think you'll find more people subscribing.,0
"Downloaded it, used it through the ""free"" trial period, which wasn't all that great! Tried canceling, they tell me I have to go through Google services to do that ha ha that's a joke in it's self! Now someone keeps trying to charge my account repeatedly for over $200 and I have yet to find the way to make it stop. So now I'm going to inform my bank of the fraudulent charge attempts and go from there. Definitely not worth it at all. Save yourself the headache, time and money, do not get this app!",4
"SUCKS!!! KEEPS TAKING ME OUT OF HIGHWAYS TO SEND ME ON SMALL TINNY ROUTES, UNPAVED ROADS AND ROAD CLOSEDS!!! REALLY??? NOT WORTH TO PAY SETTING ARE TO BE ON. HIGHWAYS SO THERE IS NOTHING WRONG ON MY SETTINGS...NEGATIVE STARS..",0
"App and website buggy and broken. Can't even create a trip without it crashing. Website constantly says the map and dispatch links are locked and I don't have permission. I paid for the Diamond membership and am the super admin, how can I not have permission? Moving on to find something else. All I wanted was a decent truck route planner, but I can't even do that Basic function on this app.",4
"the up dated version is not working properly 😒😡app still navigation not any good doing really silly Unnecessary, navigating call of route. Paid subscription for many years now. This needs to get fixed guys",0
"Update: 05/25/24 App is still broken, I can maybe get one decent trip out of it before the app breaks. A new update got pushed to my phone this week and now the app has been rendered useless. It doesn't even know where I am and is constantly chirping at me ""route recalculation"" while I'm driving. I've tried deleting storage and cache and reinstalling app but it doesn't help. Google maps works just fine, so the issue can't be my 7a. This is unacceptable and needs to be addressed ASAP.",1
"Buggy, error filled, unreliable, slow routes, no traffic workaround",0
"The more I use it, the less I like it. IT GLITCHES ALL THE TIME AND VERY INCONSISTENT IN GENERAL. BUYING A SUBSCRIPTION FOR A YEAR WAS A BAD DECISION!!! IF YOU NEED GOOD RELIABLE NAVIGATION FOR TRUCK LOOK SOMEWHERE ELSE.",0
Buy a real gps this app sucks it will reroute you and screw your day up. It stays confused reroutes constantly words cannot describe the hatred I have for an app that you pay money for that works as lousy as this service I hate truckers path I hate truckers path I hate truckers path,0
"This app shoild be banned. It allows crimimals to stalk you and harass you. Its a serious threat to your load securuty, promotes censorship ad racism. It also gives your employer tools to harass you. These are not good people. The developers must be canadian. Theyve been taking money ftom me for a coupke of years, canceled the service but continues to steal momey ftom my credit card. If you are a professional, do not use this app. I bet boeing uses this app",2
Every time when they release update the application glitches and buggy.,0
"DO NOT SUBSCRIBE, THERE IS NO WAY TO CANCEL!!! THE APP TAKES YOUR CREDIT CARD DIRECTLY AND DOES NOT PROVIDE ANY WAS TO DISCONTINUE SERVICE. THEY ARE NOT USING PLAY STORE SUBSCRIPTION LIKE MOST OTHER APPS. the actual app is mediocre for truck gps but not great.",2
"constant unnecessary recommendations, it is impossible to determine my location, it is impossible to start a route, knocks out, and also asks for money for use, I do not recommend! No, i subscribe gold plan, and everything I have described applies to gold plan. Still do not recommend.",0
